plate,well,gene,p,genenorm,kinasenorm,pnorm,pvalpos,magratio
NCIDIV_4865,A01,POWV,1.0,0.27293074219465707,1.0,3.6639331720528188,6.192867082846365e-06,-0.10828260813461683
NCIDIV_4865,A01,PV,1.0,0.07831416849269865,1.0,12.769081498876306,6.192867082846365e-06,-0.21239183358982464
NCIDIV_4865,A01,SARS-CoV-1-3CL,1.0,0.234918941678262,1.0,4.256787438492594,6.192867082846365e-06,-0.1207889573752518
NCIDIV_4865,A01,SARS-CoV-1-PLP,1.0,0.06770581264002051,1.0,14.769780628981119,6.192867082846365e-06,-0.22452952027431278
NCIDIV_4865,A01,SARS-CoV-2-3CL,1.0,0.22778819620378277,1.0,4.390043104364305,6.192867082846365e-06,-0.12335933792268675
NCIDIV_4865,A01,SARS-CoV-2-PLP,1.0,0.257671142862886,1.0,3.8809157629736126,6.192867082846365e-06,-0.11308025659566763
NCIDIV_4865,A01,SHV,1.0,0.20937112204336306,1.0,4.776207865919967,6.192867082846365e-06,-0.13038961328656548
NCIDIV_4865,A01,SLEV,1.0,0.38759221133214317,1.0,2.580031204866138,6.192867082846365e-06,-0.07903540779611254
NCIDIV_4865,A01,SV-A,1.0,0.25962031082440684,1.0,3.851778764244474,6.192867082846365e-06,-0.11245183612801507
NCIDIV_4865,A01,WNV,1.0,0.2457768602967753,1.0,4.0687312824832285,6.192867082846365e-06,-0.11702118692637321
NCIDIV_4865,A01,YES1,1.0,0.1666702925550614,1.0,5.999869470857494,6.192867082846365e-06,-0.1494096831785375
NCIDIV_4865,A01,ZIKV,1.0,0.31101094813422225,1.0,3.2153208946471956,6.192867082846365e-06,-0.09739127899961464
NCIDIV_4865,A01,c-Src,1.0,0.12988266895367884,1.0,7.699256629509504,6.192867082846365e-06,-0.17020552465758498
NCIDIV_4865,A02,Bat-CoV-HKU4-3CL,1.0,0.05082014214365235,1.0,19.677237367288715,6.192867082846365e-06,-0.24845184943476403
NCIDIV_4865,A02,Bat-CoV-HKU9-3CL,1.0,0.17584558357316443,1.0,5.686807593799636,6.192867082846365e-06,-0.14494102267602094
NCIDIV_4865,A02,Bat-SL-CoVZC45-PLP2,0.42559360247108363,0.04714815188453436,1.0,9.026729266363626,6.192867082846365e-06,-0.1834697692260099
NCIDIV_4865,A02,Bat-SV-CoVZC45-3CL,1.0,0.11355091063254455,1.0,8.80662246061629,6.192867082846365e-06,-0.18141124086140156
NCIDIV_4865,A02,Beluga-CoV-SW1,1.0,0.2905749933614736,1.0,3.4414523714916028,6.192867082846365e-06,-0.1030588725494551
NCIDIV_4865,A02,CCHFV,1.0,0.6216656477578496,1.0,1.6085817249299237,6.192867082846365e-06,-0.03963879413103104
NCIDIV_4865,A02,CV-B3,1.0,0.3153901142373924,1.0,3.1706764253470086,6.192867082846365e-06,-0.09622532796135887
NCIDIV_4865,A02,DENV,1.0,0.3650429953483426,1.0,2.7394033380800775,6.192867082846365e-06,-0.08403358001960917
NCIDIV_4865,A02,DUGV,1.0,0.4734165872777152,1.0,2.112304526020718,6.192867082846365e-06,-0.06235594856385648
NCIDIV_4865,A02,EMCV,1.0,0.1436567638954142,1.0,6.961036660466788,6.192867082846365e-06,-0.1618003854709823
NCIDIV_4865,A02,FES,1.0,0.04434057073992643,1.0,22.552709252782595,6.192867082846365e-06,-0.25982538350055845
NCIDIV_4865,A02,HAV,1.0,0.44009514851124565,1.0,2.2722359094000493,6.192867082846365e-06,-0.0684420143459315
NCIDIV_4865,A02,HCV,1.0,0.25787741638149475,1.0,3.8778114579860508,6.192867082846365e-06,-0.11301352857729272
NCIDIV_4865,A02,HCoV-229E-3CL,1.0,0.20916266482695683,1.0,4.780967964944001,6.192867082846365e-06,-0.13047267879974145
NCIDIV_4865,A02,HCoV-HKU1-3CL,1.0,0.03261252194768172,1.0,30.66306867050144,6.192867082846365e-06,-0.2854425343695783
NCIDIV_4865,A02,HCoV-NL63-3CL,0.06405272211336596,0.3706333635523139,1.0,0.172819633665616,6.192867082846365e-06,0.1463884551735568
NCIDIV_4865,A02,HCoV-NL63-PLP2,1.0,0.09247286887405547,1.0,10.813982654328179,6.192867082846365e-06,-0.19853382855308874
NCIDIV_4865,A02,HCoV-OC43-3CL,1.0,0.22057033542736978,1.0,4.53370122533673,6.192867082846365e-06,-0.12604440345223963
NCIDIV_4865,A02,HHV-3,1.0,0.1710522748321196,1.0,5.846166038899259,6.192867082846365e-06,-0.14724562359940205
NCIDIV_4865,A02,HIV-1,1.0,0.1610852094264939,1.0,6.20789458920695,6.192867082846365e-06,-0.15225189209368317
NCIDIV_4865,A02,HIV-2,1.0,0.07184034569607708,1.0,13.919754844033358,6.192867082846365e-06,-0.21958675464489494
NCIDIV_4865,A02,HPeV,1.0,0.300042662473468,1.0,3.332859373251387,6.192867082846365e-06,-0.10038520038555174
NCIDIV_4865,A02,HRV-B14,1.0,0.11545090349519566,1.0,8.661690551790388,6.192867082846365e-06,-0.1800274918691931
NCIDIV_4865,A02,HTLV,1.0,0.17018442238086648,1.0,5.875978459191974,6.192867082846365e-06,-0.1476697793957664
NCIDIV_4865,A02,KUNV,1.0,0.21165065632784957,1.0,4.724766827327893,6.192867082846365e-06,-0.1294866291596755
NCIDIV_4865,A02,LGTV,1.0,0.03594006874424576,1.0,27.824098142831364,6.192867082846365e-06,-0.27734083656795505
NCIDIV_4865,A02,LV,0.6100855043657999,0.22479946353069974,1.0,2.7139099657258905,6.192867082846365e-06,-0.08325392171564701
NCIDIV_4865,A02,MERS-CoV-3CL,1.0,0.11600675165855476,1.0,8.620187926159007,6.192867082846365e-06,-0.17962697596515392
NCIDIV_4865,A02,MERS-CoV-PLP,1.0,0.42029418668720686,1.0,2.379285823299346,6.192867082846365e-06,-0.07228087426036524
NCIDIV_4865,A02,NWV,1.0,0.24034415636788722,1.0,4.160700285424587,6.192867082846365e-06,-0.11888509301334091
NCIDIV_4865,A02,POWV,1.0,0.27293074219465707,1.0,3.6639331720528188,6.192867082846365e-06,-0.10828260813461683
NCIDIV_4865,A02,PV,0.4569731197618785,0.07831416849269865,1.0,5.8351270090351886,6.192867082846365e-06,-0.14708801699091192
NCIDIV_4865,A02,SARS-CoV-1-3CL,0.6207774355018683,0.234918941678262,1.0,2.642517589543999,6.192867082846365e-06,-0.08103093623825454
NCIDIV_4865,A02,SARS-CoV-1-PLP,1.0,0.06770581264002051,1.0,14.769780628981119,6.192867082846365e-06,-0.22452952027431278
NCIDIV_4865,A02,SARS-CoV-2-3CL,0.27934590628296707,0.22778819620378277,1.0,1.2263405696099372,6.192867082846365e-06,-0.01701406569545462
NCIDIV_4865,A02,SARS-CoV-2-PLP,1.0,0.257671142862886,1.0,3.8809157629736126,6.192867082846365e-06,-0.11308025659566763
NCIDIV_4865,A02,SHV,0.06834868498221836,0.20937112204336306,1.0,0.3264475268373572,6.192867082846365e-06,0.09335186496654932
NCIDIV_4865,A02,SLEV,1.0,0.38759221133214317,1.0,2.580031204866138,6.192867082846365e-06,-0.07903540779611254
NCIDIV_4865,A02,SV-A,1.0,0.25962031082440684,1.0,3.851778764244474,6.192867082846365e-06,-0.11245183612801507
NCIDIV_4865,A02,WNV,1.0,0.2457768602967753,1.0,4.0687312824832285,6.192867082846365e-06,-0.11702118692637321
NCIDIV_4865,A02,YES1,1.0,0.1666702925550614,1.0,5.999869470857494,6.192867082846365e-06,-0.1494096831785375
NCIDIV_4865,A02,ZIKV,1.0,0.31101094813422225,1.0,3.2153208946471956,6.192867082846365e-06,-0.09739127899961464
NCIDIV_4865,A02,c-Src,1.0,0.12988266895367884,1.0,7.699256629509504,6.192867082846365e-06,-0.17020552465758498
NCIDIV_4865,A03,Bat-CoV-HKU4-3CL,0.007971688027273199,0.05082014214365235,1.0531377651558122e-05,14894.61328997357,6.192867082846365e-06,-0.8012562410130362
NCIDIV_4865,A03,Bat-CoV-HKU9-3CL,0.17051485413750672,0.17584558357316443,1.0531377651558122e-05,92075.81376794945,6.192867082846365e-06,-0.9531571419053774
NCIDIV_4865,A03,Bat-SL-CoVZC45-PLP2,8.435212355157982e-05,0.04714815188453436,1.0531377651558122e-05,169.88152845019923,6.192867082846365e-06,-0.42820656877655233
