plate,well,src,id
NCIDIV_4867,A04,NSC,373535
NCIDIV_4867,B04,NSC,375392
NCIDIV_4867,C04,NSC,375997
NCIDIV_4867,D04,NSC,382059
NCIDIV_4867,E04,NSC,403374
NCIDIV_4867,F04,NSC,503425
NCIDIV_4867,G04,NSC,509563
NCIDIV_4867,H04,NSC,515893
NCIDIV_4867,A05,NSC,601351
NCIDIV_4867,B05,NSC,605333
NCIDIV_4867,C05,NSC,622175
NCIDIV_4867,D05,NSC,636717
NCIDIV_4867,E05,NSC,637290
NCIDIV_4867,F05,NSC,638080
NCIDIV_4867,G05,NSC,638134
NCIDIV_4867,H05,NSC,643150
NCIDIV_4867,A06,NSC,645987
NCIDIV_4867,B06,NSC,646976
NCIDIV_4867,C06,NSC,659107
NCIDIV_4867,D06,NSC,660300
NCIDIV_4867,E06,NSC,479
NCIDIV_4867,F06,NSC,1847
NCIDIV_4867,G06,NSC,3076
NCIDIV_4867,H06,NSC,3193
NCIDIV_4867,A07,NSC,3247
NCIDIV_4867,B07,NSC,4429
NCIDIV_4867,C07,NSC,5426
NCIDIV_4867,D07,NSC,5564
NCIDIV_4867,E07,NSC,6137
NCIDIV_4867,F07,NSC,6145
NCIDIV_4867,G07,NSC,6731
NCIDIV_4867,H07,NSC,6821
NCIDIV_4867,A08,NSC,6844
NCIDIV_4867,B08,NSC,7218
NCIDIV_4867,C08,NSC,7420
NCIDIV_4867,D08,NSC,7572
NCIDIV_4867,E08,NSC,7745
NCIDIV_4867,F08,NSC,7962
NCIDIV_4867,G08,NSC,9782
NCIDIV_4867,H08,NSC,10173
NCIDIV_4867,A09,NSC,10211
NCIDIV_4867,B09,NSC,10768
NCIDIV_4867,C09,NSC,11296
NCIDIV_4867,D09,NSC,131388
NCIDIV_4867,E09,NSC,148170
NCIDIV_4867,F09,NSC,154587
NCIDIV_4867,G09,NSC,159632
NCIDIV_4867,H09,NSC,166547
NCIDIV_4867,A10,NSC,294161
NCIDIV_4867,B10,NSC,329284
NCIDIV_4867,C10,NSC,343230
NCIDIV_4867,D10,NSC,7867
NCIDIV_4867,E10,NSC,8816
NCIDIV_4867,F10,NSC,11023
NCIDIV_4867,G10,NSC,11275
NCIDIV_4867,H10,NSC,11643
NCIDIV_4867,A11,NSC,306752
NCIDIV_4867,B11,NSC,10865
NCIDIV_4867,C11,NSC,379639
NCIDIV_4867,D11,NSC,402843
NCIDIV_4867,E11,NSC,403379
NCIDIV_4867,F11,NSC,647136
NCIDIV_4867,G11,NSC,11276
NCIDIV_4867,H11,NSC,11624
NCIDIV_4868,A02,NSC,11664
NCIDIV_4868,B02,NSC,11912
NCIDIV_4868,C02,NSC,12028
NCIDIV_4868,D02,NSC,12488
NCIDIV_4868,E02,NSC,12633
NCIDIV_4868,F02,NSC,12644
NCIDIV_4868,G02,NSC,12646
NCIDIV_4868,H02,NSC,13151
NCIDIV_4868,A03,NSC,13248
NCIDIV_4868,B03,NSC,13345
NCIDIV_4868,C03,NSC,13434
NCIDIV_4868,D03,NSC,13579
NCIDIV_4868,E03,NSC,13658
NCIDIV_4868,F03,NSC,13785
NCIDIV_4868,G03,NSC,13800
NCIDIV_4868,H03,NSC,14380
NCIDIV_4868,A04,NSC,14396
NCIDIV_4868,B04,NSC,14398
NCIDIV_4868,C04,NSC,15358
NCIDIV_4868,D04,NSC,15359
NCIDIV_4868,E04,NSC,15784
NCIDIV_4868,F04,NSC,17148
NCIDIV_4868,G04,NSC,17362
NCIDIV_4868,H04,NSC,17507
NCIDIV_4868,A05,NSC,19125
